"GenesetID"	"GenesetName"	"Species"	"ElementSize"	"EntrezID"
"C022990"	"chromic chloride"	"Homo sapiens"	11	"581,596,836,841,6347,3576,3383,3569,3630,5265,7124"
"C022999"	"echinocystic acid"	"Homo sapiens"	8	"581,637,836,841,842,54205,56616,331"
"C023035"	"3,4,5,3',4'-pentachlorobiphenyl"	"Homo sapiens"	276	"19,81616,51703,10880,140625,9719,339366,10149,125,127,130,9370,185,196,57491,6718,207,211,217,218,314,80831,367,55701,9915,155066,581,596,79365,712,713,114902,8209,836,857,6347,6364,890,8555,999,1000,1017,1026,1056,81494,25927,79974,9244,1401,1440,1457,1500,23316,6376,2919,3627,6373,2920,6374,3576,1536,1584,1585,1586,1588,1543,1544,1545,1589,1555,1557,1551,1581,10170,85440,1852,1874,79825,1964,2099,23086,2167,9715,388650,26261,2204,2243,2254,55277,2335,3171,2298,2309,2512,2517,2534,8326,2627,9518,14594,2806,8111,2878,3034,57817,1839,3082,3091,28996,80201,3116,3156,3162,3219,3291,3292,51478,3284,84263,3326,3383,7087,10964,3486,3600,55540,3606,3552,3553,3557,11009,27178,3567,3569,3638,6453,3757,3762,23030,9817,3805,57292,3976,10990,57622,4050,56413,23764,57692,5594,5595,4082,8685,5648,4153,4158,56922,4188,4193,10873,4233,4257,4258,58526,4320,4313,4318,51338,64231,4481,26509,653361,4744,4784,4843,4846,4884,1728,9971,8828,100506658,5004,55214,142,5125,5046,64236,5217,5241,22822,5315,151056,79156,5340,5366,5468,5493,5580,5743,80324,5866,5894,9693,8437,91608,5970,6010,146310,388591,6125,6303,192683,6447,10993,6414,57556,10501,5055,5054,9792,128646,147912,11000,10999,64116,30061,23657,8140,6598,6615,8835,6647,6654,6696,6770,6772,6774,6783,8189,6926,55714,7045,25976,7082,7099,10333,140738,7111,7124,7127,4982,8740,7157,131601,9697,57761,7257,108314,7275,10628,92912,7357,7412,7422,7429,7431,51231,79968,7474,54739,7507,7508,124220,55893,90874,147808"
"C023036"	"perfluorooctanoic acid"	"Homo sapiens"	313	"5243,8647,4363,10257,9619,9429,113868,34,51,52,2180,10880,140625,95,9719,339366,125,126,55256,9370,57016,1645,213,501,249,250,262,51129,314,100533390,335,336,337,116519,348,375719,384,439,440,467,22863,506,509,596,114902,388963,729,735,768,84254,834,842,847,891,595,898,999,1026,1029,55573,1050,1056,8824,8837,63924,10970,9076,29121,9575,1373,1374,1375,1376,1384,84699,1390,9244,54677,51380,1475,1499,1500,3627,3576,1583,1555,1576,50549,13117,1579,284541,1595,1581,23604,1649,10521,55308,1717,1719,3337,1788,85440,1843,1852,1938,79825,1958,1962,319118,2006,79071,57089,54206,2098,2099,2159,2160,2168,3992,23017,9715,112703,26261,2222,2243,2244,9982,2274,2346,2353,3169,6624,11167,8326,50486,10146,2571,2590,2673,9945,2675,2710,8833,2802,57120,285513,2878,2935,2936,2950,2996,3030,3067,59269,80201,3159,3156,3157,3158,3162,6927,3172,3190,3213,3219,11234,3290,3291,3293,3295,3308,3310,3422,3479,3486,3586,3553,27178,3565,3569,83700,3725,4254,688,3827,8942,9836,653499,9388,54839,56413,23764,57692,9175,54996,4144,4188,55897,407029,23531,4320,4313,4318,6307,4585,4598,79923,54187,10397,4739,4780,4792,9520,8856,9970,3084,64324,50814,167826,10609,5048,5053,5080,5105,5106,2923,5166,5037,8800,5217,5241,5256,22822,93183,5286,5340,123,10654,84172,5447,5465,5467,5468,5621,283659,5702,5708,5728,5743,5781,5829,5887,91608,5970,79890,378706,149603,388591,6241,57142,6256,6301,192683,6319,57556,5054,5270,151648,6469,147912,55867,116085,788,284723,283600,7779,6638,6713,6720,6775,10963,30968,11171,8189,6898,7010,55714,7067,10333,7124,8743,7153,7157,27010,7169,7172,7178,9697,23650,64927,7276,7275,10628,7358,7365,201294,7436,51699,55432,26137,401509,90874,147808"
"C023386"	"chlorinated dibenzofurans"	"Homo sapiens"	10	"196,1026,1585,140634,1543,1544,1545,1589,3284,7157"
"C023505"	"2',5'-oligoadenylate"	"Homo sapiens"	6	"4938,4939,201626,6041,6648,7098"
"C023600"	"chromium oxide"	"Homo sapiens"	62	"320,573,650,652,10485,843,836,847,1026,1029,1152,1158,1292,7852,1601,23136,2044,2065,2068,2073,2195,8061,2627,9518,2735,3055,8334,3397,3398,3490,3691,3726,4043,5608,5596,5601,4145,4163,4168,4436,4501,4504,4613,4784,4913,8395,7803,5920,5979,6446,6515,6647,6690,8082,2040,7042,4071,7133,8743,7431,7471,7472"
"C023614"	"dibenzofuran"	"Homo sapiens"	5	"196,1269,1544,81631,8878"
"C023616"	"zinc chromate"	"Homo sapiens"	8	"472,545,675,4361,5888,5889,7295,25828"
"C023617"	"pregna-4,17-diene-3,16-dione"	"Homo sapiens"	42	"8647,596,597,637,329,332,836,841,842,874,595,983,1026,1027,8837,1537,1576,1581,1786,1788,1789,2729,2730,3065,3553,5599,4204,4318,4609,10499,4790,4792,1728,8431,9971,8856,5743,5970,7124,7185,7422,331"
"C023623"	"brassinolide"	"Homo sapiens"	16	"596,598,637,836,891,595,898,1017,1019,1026,1027,2099,2100,4193,5925,7157"
"C023635"	"dienogest"	"Homo sapiens"	27	"1645,1646,6347,920,1401,3576,1588,2147,2155,2243,2244,2266,2488,3146,3294,3479,3569,3972,4790,5327,5624,5627,5743,462,5054,7099,7124"
"C023650"	"aniline"	"Homo sapiens"	14	"213,467,3576,1588,1543,1544,1545,1555,1565,1571,1576,3816,4353,10"
"C023676"	"chloroquine diphosphate"	"Homo sapiens"	39	"57007,135,84168,597,684,1277,81035,7852,3491,23586,1687,956,2152,2252,2633,2824,29923,10561,10964,9636,3669,3914,4082,4319,25878,56901,4938,8638,8613,5743,8767,127544,91543,23657,6648,10418,7097,7127,10628"
"C023717"	"acacetin"	"Homo sapiens"	6	"1543,1544,1545,1559,1576,8856"
"C023723"	"acenaphthene-1-ol"	"Homo sapiens"	6	"1645,1646,8644,1545,1553,1548"
"C023764"	"triciribine"	"Homo sapiens"	7	"207,208,581,2488,3265,3630,4313"
"C023829"	"4-nitroso-N-phenylaniline"	"Homo sapiens"	5	"57699,2272,646324,10418,23660"
"C023844"	"potassium nitrate"	"Homo sapiens"	11	"90060,1195,64421,2495,2512,3146,3148,5111,989,3925,7422"
"C023888"	"beta-hexachlorocyclohexane"	"Homo sapiens"	17	"367,672,595,2064,2065,2099,2100,2944,5594,5595,4318,8856,5241,6906,6714,7031,7252"
"C023889"	"isoprothiolane"	"Homo sapiens"	5	"1576,2099,8856,5241,7031"
"C024015"	"cryptolepine"	"Homo sapiens"	24	"581,330,699,701,890,891,595,995,997,31052,990,1026,1033,1063,9518,4171,4175,4176,84515,4193,4661,4751,7157,7272"
"C024075"	"styrofoam"	"Homo sapiens"	10	"718,727,1544,1559,1565,1576,3684,5196,5473,6403"
"C024262"	"norethindrone acetate"	"Homo sapiens"	12	"367,6352,1401,2099,2100,2155,3972,5241,5327,462,5054,7412"
"C024273"	"profenofos"	"Homo sapiens"	9	"1543,1544,1548,1555,1557,1559,1571,1576,9970"
"C024336"	"1-phenylazo-2-naphthol"	"Homo sapiens"	13	"1528,1543,1544,1545,1548,1555,1557,1558,1559,1565,1571,1576,2152"
"C024352"	"fludarabine"	"Homo sapiens"	69	"60,9131,207,10541,472,578,27113,596,598,637,672,835,836,840,841,842,890,595,898,994,1026,1027,1111,11200,54205,56616,1786,692466,9156,355,2237,9518,3014,3091,3006,8290,121504,3725,3978,5604,5605,5594,5595,4170,4318,4609,4683,142,5111,11284,5728,10111,5888,8243,9126,6648,8797,8795,8743,7157,10628,7374,7422,331,7507,7516,7520,2547,64393"
"C024555"	"ferric chloride"	"Homo sapiens"	7	"472,3576,3553,4313,4489,4891,7018"
"C024564"	"2,4,6-trichlorophenol"	"Homo sapiens"	6	"1583,1588,3295,3283,5468,6770"
"C024629"	"dimethyl phthalate"	"Homo sapiens"	8	"367,9970,5465,100136658,5468,6256,6257,6258"
"C024631"	"pyrvinium"	"Homo sapiens"	11	"8313,6347,1452,3576,22943,3570,4609,7422,7431,7476,25937"
"C024746"	"tobacco tar"	"Homo sapiens"	171	"84517,83543,27063,55107,11199,348,84159,379,493,26053,8706,388381,79095,54897,84869,388611,942,1050,57214,7122,1195,1272,26047,728577,169044,51185,9244,55057,1440,1464,2919,3576,1544,55601,10170,1730,1756,63951,10570,51233,1830,1837,11221,80303,9086,56648,1999,2022,11082,157638,2235,85462,2335,2354,2295,94234,80144,2534,11211,11227,9615,2731,27165,2766,2861,196996,2934,283120,54626,51361,3265,3293,414328,389792,3433,3481,8809,9118,50805,10265,3689,8645,3790,8284,3860,3866,3887,27074,3955,29995,89782,23643,4133,55384,84206,23609,4314,55178,26579,4692,4739,79858,4783,348938,25836,22829,23530,4861,4897,22854,4923,5064,5266,5292,29941,8613,83483,144165,11098,84109,282996,57333,23180,28984,5997,6161,146053,6252,6275,388228,192683,6340,10507,56256,30011,57630,375484,84068,6578,4092,100113384,30014,728695,64663,40495,136853,51066,10610,50861,7033,24144,7052,147798,128218,7130,23650,114088,51095,90139,246126,494514,7345,57216,128434,7546,284307,7570,199704,92285,114991,7633"
"C024836"	"4-nitrophenol"	"Homo sapiens"	28	"213,216,1066,3576,100134941,1548,1557,1571,2939,3265,3569,5444,6817,6818,27284,6783,6822,25830,7157,54658,54575,54659,54578,54577,54576,54600,10720,7366"
"C024980"	"2-hydroxyestrone"	"Homo sapiens"	11	"2099,2100,2488,3972,54658,54575,54659,54577,54576,54600,7366"
"C024989"	"coenzyme Q10"	"Homo sapiens"	13	"116984,1906,2060,2117,10499,4712,374291,4846,5451,5527,23362,6622,6648"
"C025034"	"doxifluridine"	"Homo sapiens"	49	"30,10551,231,8644,653145,379,558,10519,1365,3491,1612,1806,29940,1999,2059,2065,55500,58516,2273,2314,2517,3091,3265,3385,3439,3458,55540,3960,4361,4602,29922,9180,5311,5318,51196,5352,5567,5783,5834,10966,6117,22800,10963,7003,7031,7057,7124,1890,7298"
"C025154"	"alpha-cobratoxin"	"Homo sapiens"	15	"730,1272,1719,27436,9638,2803,58508,9516,51199,5786,5930,6654,7980,7337,51663"
"C025160"	"3-aminobenzamide"	"Homo sapiens"	22	"19,472,632,595,1026,1499,1869,2074,3265,3398,3630,3725,389692,4609,142,10038,5591,5925,6696,6794,7015,7157"
"C025164"	"fucoxanthin"	"Homo sapiens"	6	"598,836,840,2697,2705,3162"
"C025191"	"bromodichloromethane"	"Homo sapiens"	6	"1082,1544,1548,1571,1576,2952"
"C025205"	"1,10-phenanthroline"	"Homo sapiens"	67	"1636,196,203,10142,1645,1646,8644,1109,226,230,353322,290,360,443,22926,665,768,847,9308,942,1080,3576,1543,54583,112398,1958,2023,2026,2068,2597,2878,3014,57817,1839,3091,64344,29923,3098,3099,3162,3383,3554,3918,3939,51360,4193,4282,4317,4879,51667,100506658,8974,5163,5165,5230,8985,5519,5723,6401,5054,6647,6648,6720,6774,7037,10440,7422"
"C025256"	"nonylphenol"	"Homo sapiens"	51	"249,367,396,6347,595,898,999,1017,1509,1588,1555,1960,2026,2099,2100,2353,2852,2939,3488,3586,3552,3553,4297,3958,5606,5608,4288,4313,4318,4790,8856,5241,5052,5970,6286,8991,6462,6498,6558,23657,4088,6615,6591,7031,7043,7124,7422,7431,7453,11091,8839"
"C025314"	"ferric citrate"	"Homo sapiens"	12	"213,229,3576,1571,1576,2159,2147,3091,3816,5743,7018,7037"
"C025319"	"phenyl isocyanate"	"Homo sapiens"	6	"3848,3861,3868,3852,3854,3857"
"C025340"	"manganese chloride"	"Homo sapiens"	238	"23461,10350,10152,50,60,133,9465,51129,8120,324,8542,23780,396,50649,1386,22926,472,491,10396,699,56892,10241,79092,100506742,836,842,6347,6354,9133,940,962,942,926,12526,1031,1033,1052,9620,145508,1082,1164,4848,246175,1303,1368,1378,445748,1495,1499,3627,9547,2920,2921,6372,3576,30827,54205,117154,57055,1621,1649,173416,8788,127602,10591,1803,1810,1834,1950,1956,1965,1997,24139,54821,2069,157697,54536,2070,2188,2273,201163,93986,486,2566,51083,2632,6936,54834,9518,2668,2899,2936,2965,9843,3091,55662,3126,3219,3269,3383,3398,3481,3592,3553,3569,3574,51194,3675,3685,3690,3693,3694,3697,3698,3760,9314,687,26239,3932,7044,10960,4067,5606,6885,5594,1432,5595,5599,5601,5648,4155,2847,4173,4174,10873,10988,4255,8190,4353,2956,4534,10408,8736,23040,10135,4781,4784,4801,4803,4804,4855,4878,9542,8829,4905,64710,170685,55190,53343,10439,54681,5069,5099,56142,5163,176816,5228,10745,65018,51196,5350,5449,5557,5558,5580,5587,5071,5743,2185,5806,5817,23011,51715,5985,5997,8490,9628,153830,6277,55800,27111,6439,94097,22933,6496,4891,9123,55356,114134,124565,57282,4092,201895,6622,6648,6272,53340,6714,6770,219736,20888,6869,8407,9096,7021,7046,7054,7130,8718,27327,53373,4308,54795,162514,80705,128553,7306,7317,9958,85015,7422,7425,7428,23230,7490,7534,286128,7767"
"C025349"	"sodium metasilicate"	"Homo sapiens"	5	"759,760,762,763,768"
"C025399"	"sodium tungstate(VI)"	"Homo sapiens"	15	"208,972,1026,1410,1440,1490,3215,10553,3485,1728,6275,6502,51765,7040,7042"
"C025451"	"sodium bisulfide"	"Homo sapiens"	17	"316,475,836,3576,2937,3553,3569,5594,5595,4313,4318,4846,142,5743,6093,9475,7296"
"C025462"	"sulindac sulfide"	"Homo sapiens"	223	"9429,87,8754,133,152,196,9590,1645,230,246,308,335,8542,351,367,374,23204,10095,427,467,535,6790,572,581,4059,9564,596,598,637,330,701,10368,836,840,841,842,55749,595,920,4179,999,1015,1026,1051,8837,10978,1410,1490,1499,1075,3576,80777,1543,1544,1545,131566,1663,1718,1717,8655,1956,1958,2002,2064,2065,2066,2098,2099,2109,64850,2168,2167,116496,2217,2224,2264,2328,2305,79690,2617,9518,2710,113263,2896,2950,3065,3082,81502,3283,3304,3310,3384,3397,8519,10410,3475,3551,3597,3554,3609,3638,3669,3708,3714,3725,8997,9903,354,3861,3868,3872,3880,3852,3915,3916,3939,3949,4085,9223,4118,23324,7873,5604,4214,5594,5602,5595,5599,92935,4171,4233,4312,4319,22808,6307,4487,4494,9650,10797,4582,4599,4628,23310,4790,4792,1728,55746,4953,142,5074,255738,5223,5241,5315,5328,5366,10714,5465,5467,5468,5518,5538,5550,5566,5589,5396,11098,5663,5675,440533,5701,5742,5743,5747,5792,5820,5902,5909,9401,5967,5970,473,6004,387,6241,23212,6286,5268,5054,6502,6576,283130,6520,6699,6711,8878,6721,6774,8614,9262,85360,7021,7033,7057,7083,7112,7114,7124,8797,8795,8743,7157,9325,7103,7277,7296,7318,7321,54658,7378,81671,2547,7531"
"C025463"	"sulindac sulfone"	"Homo sapiens"	48	"231,57016,246,367,836,841,595,1026,1027,1499,1956,2064,2065,2099,2627,2950,3094,3248,11009,354,5604,6416,5594,5595,5599,4316,4792,4804,1728,5138,8654,5241,5465,5467,5468,5592,5743,5970,6303,8795,54658,54575,54659,54657,54576,7364,7408,7531"
"C025473"	"gamma-sitosterol"	"Homo sapiens"	11	"581,596,329,836,842,26253,54205,2099,2100,399665,142"
"C025483"	"estradiol-17 beta-glucuronide"	"Homo sapiens"	10	"10351,5243,4363,1244,8714,10257,9429,9376,10599,28234"
"C025566"	"4-methylhistamine"	"Homo sapiens"	12	"6347,929,941,3274,59340,3383,3458,3586,3592,3593,3606,7124"
"C025583"	"sesamol"	"Homo sapiens"	5	"637,836,840,841,842"
"C025589"	"ochratoxin A"	"Homo sapiens"	399	"10351,10058,1244,9619,51225,30,87,196,9131,9255,204,1645,1646,8644,207,213,64577,79868,240,283,8639,317,8542,367,10565,2909,10123,26225,57561,440,488,506,513,522,10677,566,10678,11285,572,578,581,27113,596,598,637,330,332,10904,665,56905,735,836,840,841,842,847,6358,891,900,901,10694,100133941,10421,969,995,983,1017,8851,1026,1029,1050,1051,79094,1153,1365,1364,25932,152330,51397,51122,10229,1329,9167,1350,1351,1373,1431,1475,1495,1499,9820,1524,3576,7852,1727,1535,54205,1588,1543,1544,1548,1555,1559,1571,1576,1577,84259,1649,54541,1717,56616,11083,129563,8847,11080,1798,23333,1632,158078,1938,30844,27436,2029,2034,2066,2123,7430,50848,2152,2153,2167,8772,3992,81889,151354,355,114907,8817,2353,10023,2487,8880,2528,2538,35646,51083,6936,93953,2697,2796,2814,2821,2840,2841,84706,2876,2878,2932,9446,404672,3014,3032,10767,3010,3148,3162,3283,3320,3303,3309,3313,3315,219844,3398,3420,3421,8870,3475,3481,3484,3552,3553,7850,3558,3569,64843,3676,3683,3689,3702,83700,23210,3725,3726,23189,57325,3758,3772,23046,10365,23588,51315,3866,3912,4001,4023,374819,5604,5605,5594,6300,1432,5595,5601,22919,4155,9412,4233,406940,9526,23164,4489,4490,4502,2475,4609,4636,26509,79829,4668,55577,340719,10,4694,4705,4696,4701,4708,4713,4717,4719,4726,374291,4763,9603,4831,23530,1728,8856,230598,3084,100506658,29095,10914,84612,142,5106,5111,2923,5163,5165,5175,55825,5211,5230,55650,80235,5290,5291,5293,5294,23533,23760,5329,5335,5336,123,10957,100164616,5468,5519,5532,10113,5553,5579,5629,8899,5721,5728,5743,5747,5781,51651,5888,5912,11069,10125,83593,5925,5928,5984,5997,388,6093,9475,6117,6137,10556,6209,6194,80230,6286,1901,6305,6309,22828,6319,6389,56920,10505,5055,83667,6446,6464,387914,6477,4891,55867,9356,9376,5250,7779,64924,55676,148867,27173,57181,23516,7922,55334,8501,23657,6647,6648,6649,6652,6655,55812,26010,8877,10417,6711,6714,6767,10254,6781,8417,6850,84447,8407,23435,7042,7068,7070,55374,80775,140738,757,7124,7132,9868,7157,7170,22906,8805,8295,9256,81027,25828,7317,7314,7350,7351,7352,54578,65109,708396,7388,27089,10493,10451,7422,7436,55339,8840,54739,7498,89887,22834"
"C025603"	"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid"	"Homo sapiens"	15	"637,836,1385,1387,3162,3320,3326,3565,5599,4318,4780,4846,142,6198,331"
"C025605"	"diisobutyl phthalate"	"Homo sapiens"	8	"367,2099,2100,2312,8856,9970,5468,7068"
"C025643"	"vinclozolin"	"Homo sapiens"	11	"367,1588,1543,2099,2100,354,8856,4306,5241,6715,7173"
"C025657"	"arsenic acid"	"Homo sapiens"	13	"4363,9131,1956,2885,9446,5604,5605,5594,5595,9061,4860,6464,10599"
"C025703"	"bleomycetin"	"Homo sapiens"	88	"55347,79087,23600,378,567,650,768,64921,834,836,53841,1349,8451,54541,1718,22943,1808,30844,1981,51234,56851,2026,2201,2280,11328,10817,55568,2729,2791,373156,85236,3107,3182,3217,10808,3419,3422,3678,3693,3708,23522,27076,4113,11253,4171,400569,79006,4490,4499,4502,4609,22916,10397,100301851,10528,4898,5033,5073,5154,5226,10424,29941,5521,10084,8781,9536,11031,5950,6191,26156,8607,6337,6385,6421,6446,8778,79811,9021,140809,6950,51372,29058,7171,8848,7378,57695,8409,84215"
"C025724"	"9-methoxycamptothecin"	"Homo sapiens"	19	"572,581,596,598,836,841,842,891,898,1026,1027,355,356,2353,3725,3726,5743,7124,7157"
"C025759"	"saikosaponin"	"Homo sapiens"	6	"59,581,596,652,836,842"
"C025946"	"3-methyladenine"	"Homo sapiens"	41	"207,351,9474,10533,596,598,8678,836,837,840,841,842,1026,1111,1508,54205,1649,3091,3309,3383,3684,120892,84557,81631,4217,4170,4318,4350,2475,4722,4744,4747,142,5289,5371,5743,5914,6622,8878,7124,7157"
"C025984"	"15-hydroxy-5,8,11,13-eicosatetraenoic acid"	"Homo sapiens"	22	"246,240,1950,2053,3082,3553,4069,5594,5595,4790,4792,4878,4879,5578,5970,7124,54658,54575,54659,54657,54600,7364"
"C026066"	"enterotoxin A, Staphylococcal"	"Homo sapiens"	7	"3458,3605,3558,3718,4049,6774,7124"
"C026098"	"etiracetam"	"Homo sapiens"	6	"5243,1586,1588,3284,5444,6770"
"C026105"	"butylidenephthalide"	"Homo sapiens"	58	"9131,308,392,396,498,506,581,638,708,811,836,841,842,595,898,1017,1019,1021,1026,1029,54205,1649,1915,1917,1938,1973,1994,2023,2081,355,2521,2805,220988,3184,3185,3326,3309,3939,4282,4288,4691,4830,5111,5230,5245,5518,5631,5682,5717,5925,3921,23450,2810,7157,7178,7284,7454,4904"
"C026114"	"2-xylene"	"Homo sapiens"	50	"597,604,330,694,57053,55584,1491,3576,7852,1545,1548,1571,23258,4189,1960,79071,2123,11259,1647,51191,3097,3162,92906,3434,3433,3437,3460,1326,4084,4688,4739,10725,4781,4792,57162,5366,5621,5732,51762,5971,284996,83667,54407,23657,8676,7128,11274,7494,56829,54877"
"C026209"	"oltipraz"	"Homo sapiens"	21	"5243,8647,1244,8714,10257,9429,196,1543,1544,1545,1555,1571,1576,2950,3713,4255,4780,1728,6554,10864,28234"
"C026304"	"atranorin"	"Homo sapiens"	5	"581,596,598,836,7157"
"C026305"	"cobalt sulfate"	"Homo sapiens"	32	"203,226,353322,768,6351,2919,3576,54583,112398,2023,2026,2353,2597,3091,64344,29923,3099,3162,3553,3575,3939,4282,4502,4879,5163,5230,5366,5519,7037,7128,7130,7422"
"C026385"	"n-hexane"	"Homo sapiens"	22	"231,57016,1645,8644,24300,1555,1571,2235,2512,2539,2729,2730,2936,3162,4097,4199,1728,5226,22949,140809,7296,7431"
"C026411"	"sorbinil"	"Homo sapiens"	10	"59,231,57016,999,3576,2335,3569,5594,5595,7124"
"C026418"	"4-hydroxyestrone"	"Homo sapiens"	11	"100885779,4780,54658,54575,54659,54577,54576,54600,10720,7366,7364"
"C026423"	"3,8-dihydroxy-6H-dibenzo(b,d)pyran-6-one"	"Homo sapiens"	7	"836,2099,2100,3725,4214,5600,5468"
"C026474"	"ginsenoside Rg2"	"Homo sapiens"	7	"200186,92579,2932,8431,5105,10891,6794"
"C026486"	"1,2,5,6-dibenzanthracene"	"Homo sapiens"	76	"2,196,231,1645,229,23600,345,367,467,84938,598,602,761,1048,1356,1382,1528,1543,1544,1545,1555,1559,1565,1571,1622,1889,2052,2064,2168,2194,2243,2254,2266,2330,2539,2645,2938,2944,57817,3091,3156,3398,8870,3479,3481,3484,3956,3958,4137,4170,4493,10403,4792,4804,1728,5053,5111,5292,5893,5965,389,45384,6319,12,6513,6696,7052,7076,7157,7173,7305,10537,7319,7381,10493,81671"
"C026487"	"benzo(e)pyrene"	"Homo sapiens"	8	"5243,100506742,836,840,841,842,1543,1545"
"C026609"	"beta-solamarine"	"Homo sapiens"	11	"581,596,598,836,841,842,1508,8772,355,7132,8717"
"C026659"	"edelfosine"	"Homo sapiens"	5	"596,2150,5330,5743,8989"
"C026777"	"ICI 118551"	"Homo sapiens"	24	"59,153,154,155,250,409,581,596,3576,1545,1906,2778,156,3567,3757,5594,5595,4313,4318,5743,5925,5972,7124,7422"
"C026832"	"3,4-dihydroxy-1,2-epoxy-1,2,3,4-tetrahydrobenz(a)anthracene"	"Homo sapiens"	12	"581,7832,1026,2067,1647,4968,5429,23645,23583,51499,7374,64393"
"C026967"	"Amb a I protein, Ambrosia artemisiifolia"	"Homo sapiens"	8	"3458,3586,3596,3558,3565,3567,3569,7124"
"C026987"	"aroclor 1260"	"Homo sapiens"	28	"196,367,1555,406913,406932,406938,406948,406995,406967,406968,406970,406979,406991,407004,407006,407007,407009,407026,407034,407035,407040,574030,100126355,574412,693157,8856,9970,5465"
"C027113"	"chrysophanic acid"	"Homo sapiens"	7	"196,1543,1544,1545,1559,6817,54600"
"C027132"	"1-anilino-8-naphthalenesulfonate"	"Homo sapiens"	11	"259,347,733,2938,3933,3934,29991,5004,5047,5730,7276"
"C027185"	"indirubin"	"Homo sapiens"	43	"36,196,378,405,581,596,836,10575,1000,983,1017,1195,9318,1441,3576,3577,1588,1543,1544,1545,3491,1869,2950,3281,3329,10808,3458,3484,3554,3608,3688,3689,4258,4436,653361,4864,5925,4735,6514,6688,6938,7150,7153"
"C027235"	"gallium nitrate"	"Homo sapiens"	30	"22,48,567,581,811,836,847,3301,1958,2512,2879,3091,3162,3309,3313,3315,3329,4502,4504,4520,4609,4780,64091,10549,25800,30061,6647,6648,7018,7037"
"C027260"	"pirarubicin"	"Homo sapiens"	9	"8714,367,891,995,983,2064,2099,9971,5467"
"C027309"	"3,4,5,3',4',5'-hexachlorobiphenyl"	"Homo sapiens"	5	"196,1584,1585,1543,1544"
"C027329"	"naringenin chalcone"	"Homo sapiens"	5	"54658,54575,54577,54576,54600"
"C027368"	"zomepirac glucuronide"	"Homo sapiens"	17	"213,969,1446,3576,3577,3458,3552,3569,3937,4257,4493,4494,4495,4496,4501,4502,10135"
"C027385"	"tibolone"	"Homo sapiens"	11	"1401,2099,2100,2152,3383,5594,5595,5241,6401,5054,7412"
"C027387"	"di-n-hexyl phthalate"	"Homo sapiens"	10	"367,2099,2100,9970,5465,100136658,5468,6256,6257,6258"
"C027478"	"glucuronoxylomannan"	"Homo sapiens"	7	"941,942,1493,3586,3592,3593,3595"
"C027552"	"5-methyltryptamine"	"Homo sapiens"	7	"1544,1548,1555,1557,1559,1565,1571"
"C027561"	"butylbenzyl phthalate"	"Homo sapiens"	44	"196,207,367,405,9915,836,999,1081,1312,1499,3576,1588,1543,1545,1956,2099,2100,2312,2553,2932,10013,3855,27074,51176,8856,9970,4899,5465,100136658,5468,10891,6256,6257,6258,6462,23411,23410,6528,6714,6925,7020,7070,7422,7431"
"C027563"	"4-nitrobenzyl bromide"	"Homo sapiens"	9	"1646,467,3576,11080,2730,3162,3310,3606,1728"
"C027576"	"4-hydroxy-2-nonenal"	"Homo sapiens"	281	"4363,1244,60,87,81,134,183,10327,231,57016,8644,8574,207,216,217,218,221,501,226,273,324,335,351,394,396,467,483,498,545,572,581,598,649,664,673,760,10487,824,826,832,8573,836,841,842,868,6348,890,894,8812,904,1230,961,991,993,1000,1001,1017,1025,1026,1028,1032,1066,8824,1072,1198,1277,1312,1356,1363,1385,1429,1455,1499,1514,2017,1523,6374,1544,1545,1555,1573,1576,1612,4921,1676,1677,5611,10591,1808,667,6990,1869,1945,83939,2002,6921,8518,2023,2060,2059,2064,2066,2068,2073,2113,2114,2117,2120,7430,2149,10922,2235,2260,2353,8880,2580,2625,2778,2782,2783,2877,2932,2938,2941,2944,2946,2950,2959,9563,1839,24442,3082,3094,3097,3159,3162,3172,3320,3303,3305,3306,3309,3313,3329,3397,8870,3480,3594,3605,3606,3562,3570,3572,3575,3578,3678,3655,3679,3694,6453,3725,3727,27040,3931,3932,55379,4067,5607,5594,1432,5595,5599,5601,65108,4140,4173,4286,4292,4312,4313,4332,2475,4605,4609,4638,4683,4690,5818,4756,4771,4772,4779,4784,4790,4798,4799,4828,4831,404036,9970,2063,5026,10605,142,5126,2923,5173,5245,26227,5296,5300,5423,5424,5444,5468,5499,5530,639,5052,5591,5747,5770,10928,5900,5915,5925,5934,5966,6196,6257,25939,6304,949,8991,26135,5268,5274,8036,23410,9481,4086,6648,6668,10253,6726,6778,6855,10474,10010,6929,7013,7029,7076,7082,7099,7127,7132,7150,7153,7157,8626,7161,7167,8805,8989,7249,7251,6302,10376,7295,7299,7317,7319,7417,7431,7508,8531,7525,7533,7538,7644"
