"GenesetID"	"GenesetName"	"Species"	"ElementSize"	"EntrezID"
"C001277"	"geldanamycin"	"Homo sapiens"	357	"23527,10097,3899,27125,3267,196,207,10000,154810,284,9068,27063,55745,100506013,55198,27236,259266,23200,286410,79572,344905,546,552889,596,598,54880,55814,329,259282,55322,134553,51719,800,8573,836,840,842,867,55088,595,894,9134,8812,996,11140,157313,999,1002,8621,5218,1021,55835,84902,90799,253782,1080,1147,6249,57396,1303,84570,1295,8895,27297,1457,51496,1495,1499,8065,3576,1543,4921,10521,1654,11325,1656,1660,23181,1739,1756,23317,667,1871,10085,1906,8411,1956,23301,79813,22936,57669,2058,2064,375748,114799,157570,2099,2113,7813,374393,84668,83989,2187,57697,2200,2252,2321,2335,285527,10146,11227,2744,55970,27333,2892,2957,201562,348980,55127,25831,3091,3007,3162,3248,3297,3320,3326,7184,3303,3308,3309,3329,3064,79664,11009,3572,3624,3632,10526,8826,3672,3690,221037,7994,25948,3757,7403,9703,55196,55243,11278,54800,4297,57082,3910,55132,113251,51520,51474,8825,100507632,3998,4008,4026,116064,149986,378938,10905,4131,5604,5605,4214,4217,11183,5594,5595,9261,9782,4154,10150,54799,4162,4173,29969,4193,9969,9443,4233,79066,4255,57708,406991,55320,4312,4325,4644,93649,440145,4678,51594,10499,4541,4739,10763,4763,4771,10725,25836,4820,4883,1728,7182,203447,114882,54726,5021,5069,142,5094,5108,9659,5154,23089,5241,9749,90102,57157,5290,5295,5328,9890,5362,152926,5592,3275,24148,253143,23215,23198,375743,9991,5742,5744,5747,5781,5782,5786,5789,8123,26108,5865,9135,5894,9693,11228,57786,64062,27303,1827,157506,64864,8732,9475,25914,55680,6275,389432,51128,79634,55681,223117,29843,641977,5054,143686,29072,23064,6421,166929,80143,57606,6566,9194,114134,81539,25800,6546,162394,6595,8243,23347,6655,6671,6711,6714,67398,23524,51593,6744,10273,11198,7003,54790,7035,7042,7057,7091,9874,7092,7099,55161,29766,160418,7124,8793,9966,80351,10766,7157,7158,7171,7174,7175,286827,6738,7225,7267,9652,7328,254048,7357,56886,127933,9100,219333,29761,57602,9217,81671,55610,100381270,9877,79776,51663,7543,10771,284695,147657,9849,27332,79027,285349,79862,619279,7552,54989,79364"
"C001329"	"helenalin"	"Homo sapiens"	22	"468,836,841,6352,958,941,9308,942,3576,1649,54541,3383,3586,3592,3593,3565,3569,4792,5970,6648,8797,85480"
"C001330"	"hellebrigenin"	"Homo sapiens"	8	"207,472,581,891,995,983,11200,142"
"C001390"	"2-hydroxyestradiol"	"Homo sapiens"	22	"4508,595,1312,4514,1543,1544,1545,1576,2099,2100,2308,4609,5743,6462,6817,6818,6783,54658,54575,54659,54577,54576"
"C001419"	"hydroxyphenytoin"	"Homo sapiens"	5	"54658,54657,54578,54600,7366"
"C001478"	"N(6)-(delta(2)-isopentenyl)adenine"	"Homo sapiens"	18	"440,694,10681,182,9818,5142,8544,5366,9360,5782,5774,6004,6016,6286,7029,7127,7296,7431"
"C001570"	"alexidine"	"Homo sapiens"	8	"6347,6348,6351,6352,3576,3570,4137,7422"
"C001599"	"chlorite"	"Homo sapiens"	7	"43,847,2539,2936,3945,6647,7296"
"C001652"	"homoharringtonine"	"Homo sapiens"	5	"54806,596,836,842,4170"
"C001654"	"hyperforin"	"Homo sapiens"	18	"5243,211,3576,1543,1591,1555,1559,1576,1577,1581,3383,3725,5594,5595,110357,8856,5447,54658"
"C001801"	"mitragynine"	"Homo sapiens"	7	"1066,1544,1565,1576,3757,4986,4988"
"C001803"	"tempol"	"Homo sapiens"	15	"348,836,840,1026,2034,3156,3309,27429,3569,3949,4846,5563,387,7124,7157"
"C001870"	"nonachlor"	"Homo sapiens"	30	"1003,1555,1576,2099,2100,406900,406910,406919,406932,406933,406947,406948,406961,406962,406953,406979,406982,406991,407004,407007,407010,407014,407017,407018,407020,407026,407037,407050,8856,5241"
"C001873"	"sporidesmin"	"Homo sapiens"	34	"1499,1544,1562,1558,1559,27122,100302142,406921,406930,406931,406941,406942,406960,100302243,406991,100126354,407035,442916,442917,442918,494324,442913,494328,494331,574413,574451,100616209,100616327,100616263,664616,574444,693169,6422,11197"
"C001899"	"triptolide"	"Homo sapiens"	27	"330,768,836,840,100133941,960,941,942,1082,3576,1843,2146,3303,3383,3592,3593,1432,4288,4318,2908,142,8842,6657,6839,6863,7124,331"
"C001996"	"thermozymocidin"	"Homo sapiens"	6	"836,1649,355,26471,4953,142"
"C002010"	"4-(2-aminoethyl)benzenesulfonylfluoride"	"Homo sapiens"	12	"650,1499,3159,3598,3624,3684,6469,6648,6781,8614,7130,4982"
"C002055"	"allose"	"Homo sapiens"	6	"890,595,898,1027,7157,10628"
"C002070"	"betulinic acid"	"Homo sapiens"	21	"207,581,332,768,836,840,841,842,595,1026,1956,3091,5594,5595,407013,142,5111,5744,8600,7150,7153"
"C002166"	"4-methyl-7-diethylaminocoumarin"	"Homo sapiens"	6	"10142,353322,3091,5213,5723,7422"
"C002202"	"4-oxoretinoic acid"	"Homo sapiens"	112	"9049,301,347,11335,999,1028,1152,1277,1284,1291,1296,1382,2919,1543,1592,1593,1558,1559,1576,1551,1579,1823,11221,8446,1869,1956,1979,2012,2171,10447,355,2194,10922,2246,23770,2312,3169,2539,2627,2629,9518,2658,2752,2886,2944,1839,3479,3481,3486,3587,3553,11009,3676,3713,3848,3858,3861,3866,3872,3875,3880,3852,3853,3855,9119,3856,3908,3909,10319,3934,4170,4211,4212,4222,4237,4319,4586,4739,4747,4953,4973,8544,5327,5742,5743,5914,5915,5916,5918,5920,387,388,6048,6207,6271,6278,6279,6280,12,5055,5272,6566,8651,8835,6699,6822,7041,7051,7052,7057,7114,7424"
"C002302"	"dimethoxon"	"Homo sapiens"	5	"43,590,8678,841,8737"
"C002385"	"linsidomine"	"Homo sapiens"	21	"468,581,596,775,836,847,1649,9451,1965,356,3162,3708,9817,4489,9,4780,4843,5071,6622,6647,6648"
"C002443"	"neem oil"	"Homo sapiens"	7	"9131,9474,8678,836,841,842,1026"
"C002448"	"1,2-linoleoylphosphatidylcholine"	"Homo sapiens"	7	"19,9619,335,1277,3952,5594,5595"
"C002462"	"2,2-di(4-methacryloxyphenyl)propane"	"Homo sapiens"	6	"367,2099,8856,9970,5241,5743"
"C002469"	"fusarenon-X"	"Homo sapiens"	5	"367,22926,83939,3309,5468"
"C002471"	"cinobufagin"	"Homo sapiens"	14	"581,596,329,332,890,1017,1026,1576,2932,4609,142,5111,5970,331"
"C002478"	"bathocuproine"	"Homo sapiens"	5	"351,1356,1565,3265,7157"
"C002615"	"benzo(c)phenanthrene"	"Homo sapiens"	9	"196,3576,1543,1544,1545,1576,2052,2950,8856"
"C002669"	"parthenolide"	"Homo sapiens"	53	"8714,578,581,596,598,637,727,841,6347,595,929,629,1147,3576,1649,355,356,2247,2322,3383,3439,3551,3593,3552,3553,3569,3684,4056,4069,5599,5601,4318,9612,4790,4792,8856,5743,5970,6242,6288,6401,6403,6582,412,7100,10333,7124,7157,8717,7185,7186,7412,7422"
"C002701"	"neocuproine"	"Homo sapiens"	6	"1956,3383,6401,6667,7124,7412"
"C002769"	"oleuropein"	"Homo sapiens"	8	"1588,3383,4318,5743,5970,6401,7124,7412"
"C002802"	"tungsten carbide"	"Homo sapiens"	148	"10058,136,50808,1645,216,160428,115701,51129,348,366,51676,430,432,51062,23120,581,27113,664,665,55290,768,796,797,6347,6364,11314,1000,63924,10143,26253,1466,1474,1491,1545,1634,23564,10655,11080,56521,10570,147409,144455,79733,1907,112399,2026,157638,355,14103,10517,2232,2331,2335,50486,2585,2632,2730,9518,2821,84706,2882,51191,3091,3099,3109,3113,3162,3303,3305,94031,3553,3558,3569,3624,10788,91464,3696,3848,27074,4017,4069,9863,4118,4233,4282,4312,4318,4504,4674,114548,8996,1728,26471,10562,23594,114880,5008,5163,64065,5210,23612,8544,7941,5352,8497,5507,5627,29968,5743,5803,5998,284716,8767,6236,6241,861,6285,6286,23328,6446,23411,6506,144195,10924,22986,6657,6696,8878,51616,7056,7097,55076,7124,7128,7130,8795,8742,7157,51499,80705,79739,7296,7345,114990,7436,220001,128025,90637"
"C002921"	"imipramine N-oxide"	"Homo sapiens"	5	"1544,1555,1557,1565,2328"
"C002963"	"geranylgeranyl pyrophosphate"	"Homo sapiens"	34	"207,596,332,836,1026,1277,1401,1490,3576,2152,9453,3156,3265,3383,3552,3553,3569,5594,5595,4312,4318,4792,8013,142,5155,5444,5879,56729,387,6401,7040,7124,8743,7422"
"C002979"	"selenomethylselenocysteine"	"Homo sapiens"	52	"4363,317,578,54971,596,598,10018,90427,836,839,841,842,595,1026,1066,5119,1277,1278,1287,1291,1294,1577,4733,2033,2099,356,2876,2879,2897,2899,55869,3480,4288,51734,5033,142,5241,5865,5867,949,9403,6414,6415,6519,8773,6272,6670,6774,393515,8743,54952,7507"
"C003001"	"7-ketocholesterol"	"Homo sapiens"	37	"64240,64241,38,196,10018,836,840,6347,6348,6351,6352,1437,1440,3627,3576,1543,1593,3156,3383,3586,3557,3569,3827,5594,5595,4313,4318,4790,4843,29881,5444,2185,5970,7052,7124,7412,7422"
"C003060"	"pentachlorobenzene"	"Homo sapiens"	7	"196,1312,1583,1543,1571,1576,3569"
"C003072"	"perflubron"	"Homo sapiens"	10	"1583,1584,1585,1586,1588,1589,3156,3292,3284,6770"
"C003117"	"phosalone"	"Homo sapiens"	6	"5243,367,1576,8856,9970,5914"
"C003330"	"trospium chloride"	"Homo sapiens"	6	"5243,6580,6582,6579,10599,28234"
"C003377"	"taxifolin"	"Homo sapiens"	30	"4363,335,338,8900,993,1543,1571,1630,1950,8817,2248,2621,9518,2944,3162,3383,3458,3725,5599,4547,4780,1728,5155,5921,6772,7187,7296,7498,7507,7518"
"C003402"	"sapropterin"	"Homo sapiens"	8	"351,1026,2056,2643,4846,6343,6622,7157"
"C003466"	"thymoquinone"	"Homo sapiens"	29	"59,581,596,595,1026,1147,1277,3162,3458,5594,5595,4322,4313,4318,4780,5468,5562,23411,6615,6794,7040,7076,7077,8797,8795,7153,7157,7291,7431"
